t,#,x,y,road,speed,turn,
30,5,55.251651,224.140000,2,13.888889,0,
31,5,62.196095,224.140000,2,13.888889,0,
32,5,69.140540,224.140000,2,13.888889,0,
33,5,76.084984,224.140000,2,13.888889,0,
34,5,83.029429,224.140000,2,13.888889,0,
35,5,89.973873,224.140000,2,13.888889,0,
36,5,96.918317,224.140000,2,13.888889,0,
37,5,103.862762,224.140000,2,13.888889,0,
38,5,110.807206,224.140000,2,13.888889,0,
39,5,117.751651,224.140000,2,13.888889,0,
40,5,124.696095,224.140000,2,13.888889,0,
41,5,131.640540,224.140000,2,13.888889,0,
42,5,138.584984,224.140000,2,13.888889,0,
43,5,151.170000,224.140000,2,13.888889,1,
44,5,151.170000,224.140000,18,13.888889,0,
45,5,151.170000,224.140000,18,13.888889,0,
46,5,151.170000,224.140000,18,13.888889,0,
47,5,151.170000,224.140000,18,13.888889,0,
48,5,151.170000,224.140000,18,13.888889,0,
49,5,151.170000,224.140000,18,13.888889,0,
50,5,151.170000,224.140000,18,13.888889,0,
51,5,151.170000,224.140000,18,13.888889,0,
52,5,151.170000,224.140000,18,13.888889,0,
53,5,151.170000,224.140000,18,13.888889,0,
54,5,151.170000,217.195556,18,13.888889,0,
55,5,151.170000,210.251111,18,13.888889,0,
56,5,151.170000,203.306667,18,13.888889,0,
57,5,151.170000,196.362222,18,13.888889,0,
58,5,151.170000,189.417778,18,13.888889,0,
59,5,151.170000,182.473333,18,13.888889,0,
60,5,151.170000,170.970000,18,13.888889,1,
61,5,151.170000,170.970000,19,13.888889,0,
1,6,190.500000,295.590000,0,7.000000,0,
2,6,187.000000,295.590000,0,7.000000,0,
3,6,183.500000,295.590000,0,10.500000,0,
4,6,178.250000,295.590000,0,13.888889,0,
5,6,171.305556,295.590000,0,13.888889,0,
6,6,164.361111,295.590000,0,13.888889,0,
7,6,151.170000,295.190000,0,13.888889,1,
8,6,151.170000,295.190000,1,7.112651,0,
9,6,151.170000,295.190000,1,7.112651,0,
10,6,151.170000,295.190000,1,7.112651,0,
11,6,147.613675,295.190000,1,10.612651,0,
12,6,142.307349,295.190000,1,13.888889,0,
13,6,135.362905,295.190000,1,13.888889,0,
14,6,128.418461,295.190000,1,13.888889,0,
15,6,121.474016,295.190000,1,13.888889,0,
16,6,114.529572,295.190000,1,13.888889,0,
17,6,107.585127,295.190000,1,13.888889,0,
18,6,100.640683,295.190000,1,13.888889,0,
19,6,93.696238,295.190000,1,13.888889,0,
20,6,86.751794,295.190000,1,13.888889,0,
21,6,79.807349,295.190000,1,13.888889,0,
22,6,72.862905,295.190000,1,13.888889,0,
23,6,65.918461,295.190000,1,13.888889,0,
24,6,58.974016,295.190000,1,13.888889,0,
25,6,52.029572,295.190000,1,13.888889,0,
26,6,45.085127,295.190000,1,13.888889,0,
27,6,38.140683,295.190000,1,13.888889,0,
28,6,31.196238,295.190000,1,13.888889,0,
29,6,24.251794,295.190000,1,13.888889,0,
30,6,17.307349,295.190000,1,13.888889,0,
31,6,10.362905,295.190000,1,13.888889,0,
32,6,0.000000,295.190000,1,13.888889,1,
33,6,0.000000,295.190000,15,2.081017,0,
34,6,0.000000,295.190000,15,2.081017,0,
35,6,0.000000,295.190000,15,2.081017,0,
36,6,0.000000,295.190000,15,2.081017,0,
37,6,0.000000,295.190000,15,2.081017,0,
38,6,0.000000,295.190000,15,2.081017,0,
39,6,0.000000,295.190000,15,2.081017,0,
40,6,0.000000,295.190000,15,2.081017,0,
41,6,0.000000,295.190000,15,2.081017,0,
42,6,0.000000,295.190000,15,2.081017,0,
43,6,0.000000,294.149491,15,5.581017,0,
44,6,0.000000,291.358983,15,9.081017,0,
45,6,0.000000,286.818474,15,12.581017,0,
46,6,0.000000,280.527965,15,13.888889,0,
47,6,0.000000,273.583521,15,13.888889,0,
48,6,0.000000,266.639076,15,13.888889,0,
49,6,0.000000,259.694632,15,13.888889,0,
50,6,0.000000,252.750187,15,13.888889,0,
51,6,0.000000,245.805743,15,13.888889,0,
52,6,0.000000,238.861299,15,13.888889,0,
53,6,0.000000,231.916854,15,13.888889,0,
54,6,0.000000,224.972410,15,13.888889,0,
55,6,0.000000,218.027965,15,13.888889,0,
56,6,0.000000,211.083521,15,13.888889,0,
57,6,0.000000,204.139076,15,13.888889,0,
58,6,0.000000,197.194632,15,13.888889,0,
59,6,0.000000,190.250187,15,13.888889,0,
60,6,0.000000,183.305743,15,13.888889,0,
61,6,0.000000,176.361299,15,13.888889,0,
1,7,240.070000,104.430000,9,7.000000,0,
2,7,243.570000,104.430000,9,7.000000,0,
3,7,247.070000,104.430000,9,10.500000,0,
4,7,252.320000,104.430000,9,13.888889,0,
5,7,259.264444,104.430000,9,13.888889,0,
6,7,266.208889,104.430000,9,13.888889,0,
7,7,273.153333,104.430000,9,13.888889,0,
8,7,280.097778,104.430000,9,13.888889,0,
9,7,287.042222,104.430000,9,13.888889,0,
10,7,293.986667,104.430000,9,13.888889,0,
11,7,300.931111,104.430000,9,13.888889,0,
12,7,307.875556,104.430000,9,13.888889,0,
13,7,314.820000,104.430000,9,13.888889,0,
14,7,321.764444,104.430000,9,13.888889,0,
15,7,328.708889,104.430000,9,13.888889,0,
16,7,335.653333,104.430000,9,13.888889,0,
17,7,342.597778,104.430000,9,13.888889,0,
18,7,349.542222,104.430000,9,13.888889,0,
19,7,356.486667,104.430000,9,13.888889,0,
