t,#,x,y,road,speed,turn,
28,9,226.266667,170.970000,4,13.888889,0,
29,9,233.211111,170.970000,4,13.888889,0,
30,9,240.155556,170.970000,4,13.888889,0,
31,9,247.100000,170.970000,4,13.888889,0,
32,9,254.044444,170.970000,4,13.888889,0,
33,9,260.988889,170.970000,4,13.888889,0,
34,9,267.933333,170.970000,4,13.888889,0,
35,9,274.877778,170.970000,4,13.888889,0,
36,9,281.822222,170.970000,4,13.888889,0,
37,9,288.766667,170.970000,4,13.888889,0,
38,9,295.711111,170.970000,4,13.888889,0,
39,9,302.655556,170.970000,4,13.888889,0,
40,9,309.600000,170.970000,4,13.888889,0,
41,9,316.544444,170.970000,4,13.888889,0,
1,10,224.480000,48.890000,15,7.000000,0,
2,10,227.980000,48.890000,15,7.000000,0,
3,10,231.480000,48.890000,15,10.500000,0,
4,10,236.730000,48.890000,15,13.888889,0,
5,10,243.674444,48.890000,15,13.888889,0,
6,10,251.260000,48.890000,15,13.888889,1,
7,10,251.260000,48.890000,32,13.888889,1,
8,10,251.260000,48.890000,32,13.888889,1,
9,10,251.260000,48.890000,32,13.888889,1,
10,10,251.260000,48.890000,32,13.888889,1,
11,10,251.260000,48.890000,32,13.888889,1,
12,10,251.260000,48.890000,32,13.888889,1,
13,10,251.260000,48.890000,32,13.888889,1,
14,10,251.260000,48.890000,32,13.888889,1,
15,10,251.260000,48.890000,32,13.888889,1,
16,10,251.260000,48.890000,32,13.888889,1,
17,10,251.260000,48.890000,32,13.888889,1,
18,10,251.260000,48.890000,32,13.888889,1,
19,10,251.260000,48.890000,32,13.888889,1,
20,10,251.260000,48.890000,32,13.888889,1,
21,10,251.260000,48.890000,32,13.888889,1,
22,10,251.260000,48.890000,32,13.888889,1,
23,10,251.260000,48.890000,32,13.888889,1,
24,10,251.260000,48.890000,32,13.888889,1,
25,10,251.260000,48.890000,32,13.888889,1,
26,10,251.260000,48.890000,32,13.888889,1,
27,10,251.260000,48.890000,32,13.888889,1,
28,10,251.260000,48.890000,32,13.888889,1,
29,10,251.260000,48.890000,32,13.888889,1,
30,10,251.260000,48.890000,32,13.888889,1,
31,10,251.260000,48.890000,32,13.888889,1,
32,10,251.260000,48.890000,32,13.888889,1,
33,10,251.260000,48.890000,32,13.888889,1,
34,10,251.260000,48.890000,32,13.888889,1,
35,10,251.260000,48.890000,32,13.888889,1,
36,10,251.260000,48.890000,32,13.888889,1,
37,10,251.260000,48.890000,32,13.888889,1,
38,10,251.260000,48.890000,32,13.888889,1,
39,10,251.260000,48.890000,32,13.888889,1,
40,10,251.260000,48.890000,32,13.888889,1,
41,10,251.260000,48.890000,32,13.888889,1,
